Date,State,City,Fuel_Type,Price_Per_Liter
1970-01-01,Maharashtra,Mumbai,Petrol,28.07
1970-01-01,Maharashtra,Mumbai,Diesel,21.57
1970-01-01,Delhi,New Delhi,Petrol,28.02
1970-01-01,Delhi,New Delhi,Diesel,20.86
1970-01-01,Karnataka,Mysore,Petrol,25.37
1970-01-01,Karnataka,Mysore,Diesel,19.62
1970-01-01,Tamil Nadu,Chennai,Petrol,28.28
1970-01-01,Tamil Nadu,Chennai,Diesel,20.12
1970-01-01,West Bengal,Kolkata,Petrol,25.33
1970-01-01,West Bengal,Kolkata,Diesel,21.09
1970-01-01,Gujarat,Ahmedabad,Petrol,26.78
1970-01-01,Gujarat,Ahmedabad,Diesel,20.57
1970-01-01,Rajasthan,Jaipur,Petrol,29.49
1970-01-01,Rajasthan,Jaipur,Diesel,21.64
1970-01-01,Uttar Pradesh,Kanpur,Petrol,30.54
1970-01-01,Uttar Pradesh,Kanpur,Diesel,20.73
1970-02-01,Maharashtra,Mumbai,Petrol,26.58
1970-02-01,Maharashtra,Mumbai,Diesel,19.69
1970-02-01,Delhi,New Delhi,Petrol,29.64
1970-02-01,Delhi,New Delhi,Diesel,19.75
1970-02-01,Karnataka,Mysore,Petrol,29.32
1970-02-01,Karnataka,Mysore,Diesel,21.69
1970-02-01,Tamil Nadu,Coimbatore,Petrol,28.82
1970-02-01,Tamil Nadu,Coimbatore,Diesel,20.49
1970-02-01,West Bengal,Darjeeling,Petrol,29.3
1970-02-01,West Bengal,Darjeeling,Diesel,21.96
1970-02-01,Gujarat,Ahmedabad,Petrol,28.64
1970-02-01,Gujarat,Ahmedabad,Diesel,21.16
1970-02-01,Rajasthan,Jaipur,Petrol,30.19
1970-02-01,Rajasthan,Jaipur,Diesel,20.58
1970-02-01,Uttar Pradesh,Lucknow,Petrol,30.35
1970-02-01,Uttar Pradesh,Lucknow,Diesel,20.36
1970-03-01,Maharashtra,Nagpur,Petrol,25.54
1970-03-01,Maharashtra,Nagpur,Diesel,20.04
1970-03-01,Delhi,New Delhi,Petrol,27.93
1970-03-01,Delhi,New Delhi,Diesel,21.72
1970-03-01,Karnataka,Bangalore,Petrol,29.24
1970-03-01,Karnataka,Bangalore,Diesel,22.86
1970-03-01,Tamil Nadu,Chennai,Petrol,26.69
1970-03-01,Tamil Nadu,Chennai,Diesel,21.09
1970-03-01,West Bengal,Kolkata,Petrol,26.3
1970-03-01,West Bengal,Kolkata,Diesel,19.35
1970-03-01,Gujarat,Surat,Petrol,29.02
1970-03-01,Gujarat,Surat,Diesel,20.71
1970-03-01,Rajasthan,Udaipur,Petrol,30.39
1970-03-01,Rajasthan,Udaipur,Diesel,22.63
1970-03-01,Uttar Pradesh,Kanpur,Petrol,28.32
1970-03-01,Uttar Pradesh,Kanpur,Diesel,21.93
1970-04-01,Maharashtra,Nagpur,Petrol,28.26
1970-04-01,Maharashtra,Nagpur,Diesel,20.85
1970-04-01,Delhi,New Delhi,Petrol,29.7
1970-04-01,Delhi,New Delhi,Diesel,20.65
1970-04-01,Karnataka,Bangalore,Petrol,28.23
1970-04-01,Karnataka,Bangalore,Diesel,21.74
1970-04-01,Tamil Nadu,Chennai,Petrol,26.93
1970-04-01,Tamil Nadu,Chennai,Diesel,19.72
1970-04-01,West Bengal,Darjeeling,Petrol,26.5
1970-04-01,West Bengal,Darjeeling,Diesel,20.94
1970-04-01,Gujarat,Ahmedabad,Petrol,27.09
1970-04-01,Gujarat,Ahmedabad,Diesel,21.03
1970-04-01,Rajasthan,Jaipur,Petrol,26.57
1970-04-01,Rajasthan,Jaipur,Diesel,18.89
1970-04-01,Uttar Pradesh,Lucknow,Petrol,28.34
1970-04-01,Uttar Pradesh,Lucknow,Diesel,22.09
1970-05-01,Maharashtra,Mumbai,Petrol,26.81
1970-05-01,Maharashtra,Mumbai,Diesel,21.94
1970-05-01,Delhi,New Delhi,Petrol,26.18
1970-05-01,Delhi,New Delhi,Diesel,21.27
1970-05-01,Karnataka,Bangalore,Petrol,29.91
1970-05-01,Karnataka,Bangalore,Diesel,20.03
1970-05-01,Tamil Nadu,Coimbatore,Petrol,27.99
1970-05-01,Tamil Nadu,Coimbatore,Diesel,19.88
1970-05-01,West Bengal,Darjeeling,Petrol,26.69
1970-05-01,West Bengal,Darjeeling,Diesel,18.52
1970-05-01,Gujarat,Ahmedabad,Petrol,28.13
1970-05-01,Gujarat,Ahmedabad,Diesel,22.09
1970-05-01,Rajasthan,Jaipur,Petrol,29.66
1970-05-01,Rajasthan,Jaipur,Diesel,20.95
1970-05-01,Uttar Pradesh,Kanpur,Petrol,28.04
1970-05-01,Uttar Pradesh,Kanpur,Diesel,19.73
1970-06-01,Maharashtra,Mumbai,Petrol,25.98
1970-06-01,Maharashtra,Mumbai,Diesel,20.79
1970-06-01,Delhi,New Delhi,Petrol,28.2
1970-06-01,Delhi,New Delhi,Diesel,20.46
1970-06-01,Karnataka,Mysore,Petrol,29.38
1970-06-01,Karnataka,Mysore,Diesel,20.71
1970-06-01,Tamil Nadu,Chennai,Petrol,26.19
1970-06-01,Tamil Nadu,Chennai,Diesel,21.05
1970-06-01,West Bengal,Kolkata,Petrol,28.04
1970-06-01,West Bengal,Kolkata,Diesel,20.12
1970-06-01,Gujarat,Ahmedabad,Petrol,27.86
1970-06-01,Gujarat,Ahmedabad,Diesel,20.58
1970-06-01,Rajasthan,Jaipur,Petrol,28.52
1970-06-01,Rajasthan,Jaipur,Diesel,21.38
1970-06-01,Uttar Pradesh,Kanpur,Petrol,25.92
1970-06-01,Uttar Pradesh,Kanpur,Diesel,20.9
1970-07-01,Maharashtra,Mumbai,Petrol,28.99
1970-07-01,Maharashtra,Mumbai,Diesel,22.28
1970-07-01,Delhi,New Delhi,Petrol,30.16
1970-07-01,Delhi,New Delhi,Diesel,23.07
1970-07-01,Karnataka,Bangalore,Petrol,28.46
